Name,rsquared,coef,Pearson,tM1,tM2
COX8_001-1,0.0371895114639208,-0.45394389679418107,-0.19284582303985956,0.14539318881092436,0.04261333098698993
COX8_002-1,0.05435521893495099,-0.4677427101671736,-0.23314205741339508,0.14949400779206817,0.05171213630438071
COX8_003-1,0.1079467848694905,-0.4116712276769591,-0.3285525602844853,0.1991295916547789,0.06567038404676709
COX8_004-1,0.052306351380003835,5.28576862907273,0.22870581842184057,0.8300802586248397,0.2065753918129664
COX8_005-1,0.007682099637196127,-0.6100024579286961,-0.08764758774316829,0.5249987062746714,0.05287495605709578
COX8_006-1,0.00045047831568845176,0.2494419705879958,0.021224474450227404,0.6314018187010298,0.10346212351790722
COX8_007-1,0.003065699929331256,0.779484097142771,0.05536876311903381,0.5830937764414112,0.12905826957324026
COX8_008-1,0.0027958765565806454,-0.4388890418937774,-0.05287604898799417,0.5577511502279289,0.07711231716620298
COX8_009-1,0.006989175887762489,1.2016275298073504,0.0836012911847818,0.6989521819621667,0.14461559065365706
COX8_010-1,0.007376578828412028,1.185570098081952,0.08588701198907811,0.7718820048372677,0.14355174076519456
ER_001-1,0.14577311486736944,-0.3184190309168123,-0.38180245529248374,0.2968340246146922,0.2026236333922256
ER_002-1,0.10631500033212915,-0.33618436864799806,-0.3260598109735835,0.360912669525125,0.21723823066373346
ER_003-1,0.012948688148737175,-0.17819208380837417,-0.11379230267789289,0.6289615767914045,0.2848783946731389
ER_004-1,0.036938371882286325,-0.27472515368877976,-0.19219357919110117,0.5023037762931422,0.22204576892750974
ER_005-1,0.06409412103054846,-0.2564014890745681,-0.2531681674906002,0.39684506860851376,0.23113963139739713
ER_006-1,0.0441393144458867,-0.223272173567028,-0.21009358497080927,0.4231402668635068,0.2023524986941294
ER_007-1,0.09610261075571858,-0.2361223018546417,-0.3100042108677211,0.3879033287653147,0.21747312430968563
ER_008-1,0.018205448236010446,-0.2412563701333564,-0.13492756662746933,0.445420449057952,0.24369859694330478
ER_009-1,0.016404868960711583,-0.19507206270201866,-0.1280814934356693,0.5275623259820571,0.23813639090930283
ER_010-1,0.0019113576806828458,-0.06540723255287138,-0.043719076850764524,0.5913397234413267,0.29937581472045977
mCherry_001-1,0.07234010734082907,-0.5140483570462413,-0.2689611632575024,0.22548525839591738,0.0592391765651603
mCherry_002-1,0.03467753539646401,-0.4194193572053117,-0.1862190521844204,0.43710471932310013,0.07114980442615478
mCherry_003-1,0.07879160077399505,-0.40787514135588226,-0.28069841605181034,0.27489181399202745,0.0736124994620618
mCherry_004-1,0.12571214897916128,-0.4014583028957988,-0.35455909095545873,0.2666434768339554,0.07077754990943638
mCherry_005-1,0.1280138172480546,-0.4000420709723542,-0.35779018607006946,0.2717708018737043,0.06116755876412522
SuperNova-N1_001-1,0.6421102736759073,-0.8496580686640547,-0.8013178356157481,0.061193413272120314,0.03244963400546675
SuperNova-N1_002-1,0.0005252894890233062,-0.013152221044415775,-0.022919194772574696,0.14123094839920683,0.6546697121535904
SuperNova-N1_003-1,0.13882468264886572,-0.07828957536942181,-0.3725918445817968,0.08952132725715795,0.3744609840731826
SuperNova-N1_004-1,0.07544907226946329,-0.04121845023967411,-0.2746799451533787,0.08783166004904311,0.39248832911099324
SuperNova-N1_005-1,0.2145725049241618,-0.10419206972617377,-0.46321971560390407,0.0700356502849358,0.27831276457677523
SuperNova-N1_006-1,1.4192119781597512e-06,-0.00408480294193373,-0.001191306836374088,0.44824610780641266,0.49365780292767547
SuperNova-N1_007-1,0.1690846160518601,-0.08921659763014807,-0.41119899811631366,0.07716214155831921,0.3375944305193653
SuperNova-N1_008-1,0.051369217365137,-0.07427622443864722,-0.2266477826168538,0.2279310820881086,0.4921550418633105
TGON2_001-1,0.030721413321831648,-0.06633585706947584,-0.17527525016907455,0.5231911112454181,0.32098104271900435
TGON2_002-1,0.20945067163466746,-0.0876978896912623,-0.4576578106343948,0.25552110853658927,0.32158841174866454
TGON2_003-1,0.04229695268518652,-0.10614953664926412,-0.20566222960278072,0.4192146166754099,0.2898823199765774
TGON2_004-1,0.018444431879646284,-0.041550145000604846,-0.1358102789911216,0.5687725300944009,0.40789738431526756
TGON2_005-1,0.00010404738678904124,0.005605504999974902,0.010200362091085444,0.5330160724218098,0.44469343387777965
TGON2_006-1,0.02644231728632207,-0.13407730759589517,-0.16261093839690513,0.5390448466441977,0.4227045185113841
TGON2_007-1,0.15341278086761467,-0.20305658511127142,-0.3916794363604179,0.295639834976533,0.29002256359428397
TGON2_008-1,0.14024142777139692,-0.17939666533791082,-0.374488221138392,0.26043391858258974,0.3101711196476473
VAMP8_001-1,0.05532361747235248,-1.228111502107036,-0.23520973081986304,0.4008608390975596,0.05496027502665013
VAMP8_002-1,0.02024795959171366,-1.098102320208192,-0.14229532526303848,0.4466254901969064,0.0519821674721609
VAMP8_003-1,0.03713584089505695,-1.237789189722934,-0.1927066187110778,0.3767437499524864,0.04159067214226975
VAMP8_005-1,0.007247525375146835,-0.1957899587806144,-0.08513239909192315,0.6820105132107113,0.32505044246869963
VAMP8_006-1,0.007109839128710993,-0.1412094422829302,-0.08431986200600095,0.6757796563700911,0.3469637776536451
VAMP8_007-1,0.04413745324529195,-0.22331614877496253,-0.21008915546808227,0.5750187764239588,0.2677878101263479
VAMP8_008-1,0.020666216623826728,-0.22036537037309548,-0.14375749240935828,0.5957652992939888,0.1915716363184491
VAMP8_009-1,0.006099565421520237,-0.13871423472807543,-0.07809971460588098,0.7136244736643782,0.29304771282139375
