Name,rsquared,coef,Pearson,tM1,tM2
180112_299_gp91_p67_zym633_001_lif_t10_d1_001_1_inside,0.000372397585384765,0.009709590221397507,0.019297605690465673,0.8892831415121207,0.9022380232767954
180112_299_gp91_p67_zym633_001_lif_t10_d1_002_1_inside,0.11454763841016913,0.18940846501930692,0.3384488711905674,0.9275150516361488,0.8834303186314498
180112_299_gp91_p67_zym633_001_lif_t10_d1_002_2_inside,0.05590201563836983,0.12561868545558622,0.23643607093328606,0.9214486394950545,0.8988303975026858
180112_299_gp91_p67_zym633_001_lif_t10_d1_003_1_inside,0.06358075108364292,-0.0818816688543911,-0.25215223791123276,0.5494257760274778,0.7791252024994214
180112_299_gp91_p67_zym633_001_lif_t10_d1_004_1_inside,0.07201749947279856,-0.15202815145995938,-0.2683607636611559,0.5272329743299052,0.6705960513091324
180112_299_gp91_p67_zym633_001_lif_t10_d3_001_1_inside,0.03028725206407379,-0.27977062005971665,-0.17403233051382666,0.6352110383002971,0.4710017399950286
180112_299_gp91_p67_zym633_001_lif_t10_d3_002_1_inside,7.732249085501408e-05,0.004328993450961515,0.008793320809285196,0.71436292510706,0.9414463673025406
180112_299_gp91_p67_zym633_001_lif_t10_d3_003_1_inside,0.07602742221830572,-0.2414826465553955,-0.27573070597651156,0.485962541988423,0.487471583733266
180112_299_gp91_p67_zym633_001_lif_t10_d3_004_1_inside,0.06092114237182222,-0.31609659271739876,-0.24682208647489806,0.5649646600048744,0.4858252393892894
180112_299_gp91_p67_zym633_001_lif_t10_d3_005_1_inside,0.017386871648939817,-0.1105348985382171,-0.13185928730635396,0.7205871671581516,0.6575793650793651
180112_299_gp91_p67_zym633_001_lif_t10_d3_008_1_inside,0.02944923478539463,-0.33763062424480345,-0.1716077934867608,0.5923364260754308,0.41873269536472646
180112_299_gp91_p67_zym633_001_lif_t10_d3_009_1_inside,0.005538475562525957,-0.08091544479857027,-0.07442093497481872,0.6980901191158475,0.6810379518490252
180112_299_gp91_p67_zym633_001_lif_t5_d1_007_1_inside,0.0007260906778575604,-0.024719380890485487,-0.026946069803549355,0.7385757110477444,0.787947869593286
180112_299_gp91_p67_zym633_001_lif_t5_d2_001_1_inside,0.00301239322401059,-0.04863420340119722,-0.05488527328901976,0.780237681199266,0.7653438009380925
180116_231_gp91_p67001_lif_round2_t5_d1_001_2_inside,0.005446172339097832,0.044181413461099446,0.07379818655697318,0.9988593498294027,0.9338715061758368
